product_id,category,claims,ingredient_tags,pack_size
P088,electrolyte drink,"halal, vegan, diabetic-friendly, keto-friendly","pea-protein, almond-flour, collagen",Single
P089,electrolyte drink,"gluten-free, plant-based","whey, oats",Single
P090,protein bar,"vegan, clean-label, low-sugar","whey, almond-flour, soy",4-Pack
P091,healthy snack,clean-label,"soy, collagen",Single
P092,protein bar,"jain-friendly, gluten-free, vegan","oats, monk-fruit",Single
P093,protein bar,halal,"oats, pea-protein, monk-fruit",Single
P094,protein bar,gluten-free,"pea-protein, soy, monk-fruit",Single
P095,protein bar,halal,"monk-fruit, oats",Single
P096,electrolyte drink,high-protein,"collagen, monk-fruit, stevia",4-Pack
P097,protein bar,"vegan, kosher, plant-based, jain-friendly",,Single
P098,supplement,"kosher, nut-free",soy,Single
P099,supplement,"diabetic-friendly, jain-friendly, high-protein, vegan",almond-flour,Single
P100,protein bar,"kosher, gluten-free",collagen,Single
P101,proten shake,"keto-friendly, low-sugar, gluten-free, jain-friendly","pea-protein, almond-flour, monk-fruit",Single
P102,healthy snack,"plant-based, kosher, vegan","pea-protein, collagen",4-Pack
P103,protein shake,diabetic-friendly,"whey, almond-flour, collagen",4-Pack
P104,protein bar,"kosher, jain-friendly, low-sugar, diabetic-friendly","oats, collagen, pea-protein",12-Pack
P105,meal replacement,"gluten-free, halal","whey, collagen, pea-protein",12-Pack
P106,meal replacement,"halal, jain-friendly","soy, almond-flour",Single
P107,electrolyte drink,plant-based,"oats, monk-fruit, pea-protein",Single
P108,meal replacement,"gluten-free, jain-friendly","stevia, almond-flour",12-Pack
P109,supplement,"low-sugar, keto-friendly, diabetic-friendly, nut-free",soy,Single
P110,protein bar,"gluten-free, halal","pea-protein, soy",4-Pack
P111,proten shake,"jain-friendly, diabetic-friendly","oats, stevia, collagen",Single
P112,electrolyte drink,nut-free,"soy, almond-flour",Single
P113,meal replacement,vegan,whey,4-Pack
P114,healthy snack,"nut-free, jain-friendly, clean-label, keto-friendly","monk-fruit, oats",Single
P115,protein bar,vegan,pea-protein,4-Pack
P116,protein shake,"plant-based, gluten-free","whey, oats, collagen",Single
P117,meal replacement,"low-sugar, jain-friendly, high-protein",almond-flour,Single
P118,healthy snack,"kosher, nut-free, clean-label, vegan",monk-fruit,4-Pack
P119,protein bar,"high-protein, low-sugar","almond-flour, monk-fruit, stevia",Single
P120,protein bar,"clean-label, high-protein, jain-friendly",whey,Single
P121,proten shake,"kosher, jain-friendly, gluten-free, high-protein",whey,4-Pack
P122,meal replacement,"halal, high-protein, jain-friendly, keto-friendly",monk-fruit,4-Pack
P123,proten shake,"gluten-free, keto-friendly, kosher, low-sugar","whey, collagen",Single
P124,meal replacement,kosher,"monk-fruit, whey",Single
P125,meal replacement,"plant-based, diabetic-friendly",,4-Pack
P126,meal replacement,"nut-free, low-sugar","oats, almond-flour, monk-fruit",Single
P127,supplement,"vegan, low-sugar, diabetic-friendly, keto-friendly",soy,12-Pack
P128,meal replacement,"jain-friendly, low-sugar, diabetic-friendly",,Single
P129,electrolyte drink,low-sugar,"soy, monk-fruit, whey",Single
P130,meal replacement,vegan,pea-protein,4-Pack
P131,proten shake,"high-protein, low-sugar, nut-free","collagen, monk-fruit",12-Pack
P132,proten shake,plant-based,monk-fruit,4-Pack
P133,protein bar,"diabetic-friendly, vegan, clean-label, gluten-free","pea-protein, stevia, collagen",4-Pack
P134,protein bar,"clean-label, high-protein, nut-free","whey, collagen, monk-fruit",Single
P135,electrolyte drink,"gluten-free, low-sugar, plant-based, vegan",pea-protein,Single
P136,electrolyte drink,"high-protein, nut-free","stevia, collagen, oats",4-Pack
P137,protein shake,kosher,"oats, whey",Single
P138,meal replacement,"nut-free, jain-friendly","soy, oats, pea-protein",Single
P139,healthy snack,"high-protein, low-sugar, clean-label, jain-friendly",monk-fruit,Single
P140,electrolyte drink,"vegan, plant-based, keto-friendly","soy, collagen, monk-fruit",Single
P141,healthy snack,"gluten-free, kosher, diabetic-friendly","almond-flour, collagen",4-Pack
P142,protein shake,"gluten-free, high-protein, jain-friendly, kosher","almond-flour, oats",12-Pack
P143,protein bar,"nut-free, kosher, keto-friendly","stevia, oats, almond-flour",Single
P144,meal replacement,"halal, diabetic-friendly, low-sugar","monk-fruit, collagen",4-Pack
P145,healthy snack,"gluten-free, jain-friendly, plant-based","whey, stevia",Single
P146,protein shake,"diabetic-friendly, plant-based","whey, collagen, monk-fruit",Single
P147,proten shake,"jain-friendly, diabetic-friendly","monk-fruit, stevia",Single
P148,protein bar,"jain-friendly, halal, clean-label, diabetic-friendly","soy, monk-fruit",Single
P149,protein bar,clean-label,"oats, stevia, collagen",Single
P150,meal replacement,"halal, low-sugar","oats, monk-fruit, almond-flour",Single
